"GSM1873688","GSM1873721","GSM1873744","GSM1873750","GSM1873753","GSM1873754","GSM1873757","GSM1873758","GSM1873765","GSM1873777","GSM1873779","GSM1873780","GSM1873788","GSM1873792","GSM1873795","GSM1873797","GSM1873800","GSM1873805","GSM1873807","GSM1873809","GSM1873815","GSM1873817","GSM1873818","GSM1873823","GSM1873825","GSM1873829","GSM1873830","GSM1873832","GSM1873836","GSM1873845","GSM1873846","GSM1873847","GSM1873853","GSM1873856","GSM1873863","GSM1873864","GSM1873867","GSM1873871","GSM1873874","GSM1873882","GSM1873883","GSM1873886","GSM1873897","GSM1873898","GSM1873902","GSM1873904","GSM1873907","GSM1873910","GSM1873911","GSM1873912","GSM1873913","GSM1873914","GSM1873915","GSM1873916","GSM1873917","GSM1873918","GSM1873919","GSM1873920","GSM1873921","GSM1873922","GSM1873924","GSM1873926","GSM1873928","GSM1873930"
"cg23934071",0.380856911220651,0.491807626976704,0.480399362463904,0.454654215442754,0.363655786065108,0.432744090270327,0.424952357656999,0.471582862226133,0.532586436187314,0.431288736331093,0.489793409740313,0.507718063898996,0.532974791321804,0.6030531288559,0.589063652950079,0.37179920092894,0.521373525148406,0.515916408501924,0.452566260809191,0.39179273924755,0.485298171012629,0.560497653160406,0.609443292724952,0.496144953901271,0.638937687042474,0.597780430376234,0.522927566566517,0.453761937458431,0.408131015293664,0.413020415654893,0.448765324107803,0.498780492947331,0.53292233426418,0.481900155595721,0.564193437203682,0.503005618003464,0.451308651788448,0.450174753100194,0.481875936371269,0.522458287677419,0.509726553920859,0.60407742608105,0.500252218117887,0.377466719145753,0.403967362065919,0.365643438844394,0.50210681309181,0.531968041604024,0.470638650229154,0.445673484377924,0.305252642273197,0.448582411455785,0.489706069630257,0.456703880448744,0.479462153990845,0.471571563912898,0.384933159141726,0.405421062084291,0.483522861488524,0.490606439396958,0.516667523501997,0.481630113353729,0.506741543280526,0.573422703435182
"cg25165860",0.468334417133913,0.303567839651129,0.339153538248773,0.309819873789109,0.563081877989472,0.696549594414891,0.634109804701206,0.36825653210951,0.395122698936728,0.0883018964013332,0.165765424750973,0.0977401905447112,0.218892432637528,0.558409608728107,0.439166998371165,0.430891088727514,0.271055555347832,0.220695409528972,0.429764128573663,0.273665452111728,0.263208352371619,0.245911605259463,0.326755659051442,0.729867729915942,0.630402561399735,0.464737810507747,0.760112636812869,0.187632778214571,0.713462887132367,0.169269886183435,0.194475488177165,0.089123478359819,0.490381790213481,0.154810261609849,0.0838702017787403,0.140393871252635,0.701512892513276,0.189254400926506,0.18440764502182,0.227040920818531,0.195195644208725,0.262915988826308,0.319180422597458,0.133141571070644,0.102689239543158,0.144632066075071,0.33968870208791,0.20264537643225,0.264413918605628,0.183411016352075,0.581669879758524,0.217204641134271,0.179863276834838,0.208257193027291,0.276700035221686,0.215076984766325,0.194950691171898,0.11437782564504,0.162883793834759,0.129767193359431,0.326231568122823,0.349366714475258,0.251469549743699,0.597362714927166
"cg06080311",0.04446445,0.02192108,0.02865187,0.07456896,0.03539696,0.05043828,0.05139017,0.06258252,0.04580311,0.04405979,0.03551857,0.0260797,0.05715882,0.02951465,0.03038624,0.07843439,0.05402214,0.1125733,0.04355039,0.05577908,0.03435033,0.04036348,0.06701632,0.02226027,0.01888997,0.03376678,0.06284153,0.03989098,0.1294848,0.04837673,0.03934578,0.1398842,0.03882051,0.1496343,0.01897779,0.0317615,0.06050532,0.02820463,0.03398776,0.0328674,0.05017771,0.0501258,0.04426186,0.03568609,0.07420778,0.04280206,0.01265327,0.02414826,0.03048416,0.03430469,0.1029014,0.0816511,0.03710997,0.05226809,0.04043595,0.03762321,0.02360198,0.0343961,0.0238023,0.02548678,0.01460743,0.04124017,0.05417576,0.03298836
"cg24788308",0.101112920558947,0.175994489442367,0.133410421151809,0.128910284343051,0.0735720021895202,0.143654059323899,0.0825843825740239,0.153186463830821,0.113939149792453,0.088440511135547,0.163151598210097,0.236746177763642,0.107663455663138,0.0347918377475804,0.0556130253780314,0.0752647014607565,0.128452751906631,0.184908471736865,0.109362257498329,0.132045821337976,0.196792540243434,0.0801976692709261,0.208810818534219,0.051214542697127,0.0564880105635019,0.0662667054861573,0.289730289122785,0.122896195491695,0.146628150766885,0.104477105586908,0.110518890254084,0.169779001142622,0.206025248626861,0.185091179665948,0.240037570298497,0.14476901340305,0.155388477155085,0.192635447210402,0.0942112262011019,0.0751010847751558,0.110998502862984,0.145751742970424,0.134683692430461,0.095543877334337,0.0821241592513702,0.0366392162987662,0.106430298346148,0.111619207410936,0.190706192849881,0.152783877427622,0.425251299242121,0.114938152834601,0.183846219213691,0.118370862187056,0.0796785611824365,0.19597552415594,0.0694968447290716,0.0845104664359214,0.127689547542498,0.107461631720496,0.122047142523594,0.0991769714841464,0.213592959384576,0.101039114807669
"cg01486665",0.935802083886585,0.919810816417144,0.938014134742413,0.958785686058554,0.963420617400109,0.975551039378029,0.982881572946191,0.951249437751654,0.981547274295652,0.943759726808514,0.951780445000136,0.956834864853153,0.962413007527349,0.948638147194202,0.966856053636842,0.973053778277932,0.967092791166024,0.975947906327509,0.970915299135405,0.921886675845316,0.931507136302443,0.948911120173505,0.967625734198766,0.972343878290539,0.948277855393928,0.962646682819907,0.953915228786614,0.961317748932025,0.981314735843714,0.936051337448435,0.953941368452976,0.962145762532475,0.943001262955581,0.942286010715044,0.960570877054524,0.959079151905261,0.958177728949585,0.945381630430386,0.955824364056242,0.952018293128978,0.931806189732188,0.977923769022434,0.980184576758542,0.955920858171442,0.955289458316169,0.954667942965344,0.985580480164116,0.950408513587684,0.929505333088932,0.960456859692866,0.950099158960303,0.975758538452133,0.954669389703581,0.94751013121203,0.951069729128921,0.965937654783568,0.947633699937589,0.979061033864446,0.933059187484114,0.9720018697297,0.969628073632806,0.976468992878361,0.958726733631196,0.96881974049183
"cg13939078",0.949569885721245,0.938252076864933,0.864996538674894,0.826658051970523,0.990198233039469,0.993423238625838,0.979583828323823,0.910348118202172,0.927714866025225,0.913502095203395,0.936021985026423,0.84626971054899,0.922872972368263,0.957396088830845,0.974244905721069,0.760445468096443,0.925836175527382,0.887564018539733,0.956032730463132,0.733888389162581,0.813176028034475,0.941423241819394,0.943858121347537,0.975820111745773,0.941810560441014,0.950215017783001,0.969797388306535,0.935294960450532,0.988425208029972,0.93036606640319,0.912049481861281,0.86561223959327,0.953545994700463,0.848029938002608,0.487093539985601,0.891323365939909,0.970046910581188,0.807279357897723,0.837120422934312,0.908970983385545,0.884437271542013,0.92772674230958,0.891608215401301,0.845412210884714,0.648227245906239,0.547696500213928,0.805208423543238,0.817877720070367,0.920506025766844,0.856597603151497,0.972730119568927,0.930188669991013,0.903431606609237,0.902425614893274,0.909801231837745,0.957561204695848,0.517984718888502,0.845572232964871,0.905667525328682,0.911529812823097,0.914445518854049,0.958307890611889,0.878879161844507,0.945857922042328
"cg08828193",0.627644701826763,0.130610256864636,0.361826868290371,0.2035292893867,0.511519085886294,0.55114873012928,0.519589387721557,0.348396696754208,0.434025311685252,0.0117487196079281,0.0895626080088716,0.150418697441809,0.286938629706945,0.581615068307896,0.426860919595138,0.382485180634821,0.33266642093246,0.0856947864627311,0.150000989940197,0.282744554727524,0.1912022515557,0.0947233070153408,0.141384112770518,0.534397885285579,0.513756188982668,0.433209082634404,0.715303022746493,0.171983968040027,0.601086661536688,0.12924515663883,0.12455770780135,0.0656168740113008,0.311217052859217,0.044791060311443,0.0488545365472002,0.111486440994819,0.6744094974977,0.15976887653211,0.173961416720434,0.185118744724244,0.103770523909736,0.204185238462957,0.177164855696903,0.0470559969474036,0.0523238879360118,0.0557269562175978,0.290741914697315,0.0764820769497992,0.149681972517585,0.115036383244044,0.39590670483658,0.0822973583976773,0.0686033980110944,0.132859596876819,0.176740295601391,0.124613003543529,0.0977975169983206,0.0645518193740521,0.0869988011691651,0.0264672152927398,0.295715236533822,0.185415239483354,0.219020122889926,0.535997660638011
"cg26963790",0.172244742834819,0.132096365147668,0.174642432705276,0.10211184329018,0.11498929371106,0.151084725114436,0.159339926574515,0.287342256697099,0.20004667954921,0.148793291657893,0.0723963396698898,0.211173256332289,0.146241560338347,0.153211947708151,0.213281856636713,0.199436187453465,0.158411209784472,0.0531996027601545,0.201620539924399,0.0756422297430192,0.327555644523966,0.0640355404245095,0.195595612660272,0.159625028173494,0.121602552826814,0.194468775085295,0.342521064723264,0.147953013373966,0.113225752059264,0.153029767313192,0.137214739567857,0.136987301656805,0.122897988419394,0.104477015794188,0.0535795522201604,0.0700975235928804,0.224337607348465,0.267130497409028,0.169562180209516,0.171998896944074,0.185868076765196,0.191997164932499,0.14873799916087,0.0743916706345179,0.0790576656339748,0.0731941930645313,0.143242951663037,0.11384554416063,0.195868612528863,0.146045704546781,0.10505363315871,0.277150065084764,0.0757970424041369,0.147570280724104,0.203833361359173,0.0444049793967722,0.0362049141161385,0.0626137295534873,0.080219476542106,0.115629253387087,0.244277507128156,0.21257915104916,0.204274034509872,0.267968462057194
"cg17632565",0.020099778216544,0.00530301429081481,0.0129433513242821,0.00206493519861923,0.00699002555303159,0.0188127677873853,0.00615575114907357,0.0248402486187365,0.016556764473711,0.0119763884789199,0.000794264745486951,0.0036599708783166,0.0207643730409394,0.0104984211008635,0.0111846225308315,0.0127278074364856,0.00788590381409679,0.0121288172478767,0.00759562415969747,0.00324932426722966,0.00538419834678738,0.00112703374627955,0.0190606261992513,0.00587289342586877,0.0127014954869208,0.0071494548960771,0.0206733662563927,0.00904786852424406,0.00615897871301359,0.0193046913585146,0.0176702344604843,0.0100862212788701,0.0025708384593931,0.00916085508222093,0.00370445095645702,0.00683086859588822,0.0122697460402242,0.0181641283256303,0.00488738344048543,0.00280016746772912,0.00969130453905044,0.00904208918652686,0.0138778414717657,0.00900150542233154,0.00786535332263173,0.00639058206974712,0.00199152229458843,0.0383073603414876,0.00101865739491877,0.00763007425279254,0.00435674096510262,0.0208508857493488,0.0176835250308905,0.0147687989160929,0.0106739767715706,0.0111426011900712,0.0296114711707304,0.0109318302859617,0.01862879806046,0.0168111545112461,0.0136394375716158,0.00460649037039596,0.00672196248651904,0.00851001168806312
"cg00614684",0.0122360053406865,0.00913009177042206,0.0285171678385336,0.0303258092176156,0.0357002041701251,0.0337889037792923,0.0207482101257995,0.0347415471104582,0.0369061290357351,0.0164065540918916,0.014191427494592,0.0197921697286609,0.0221007503664881,0.022384864842248,0.0466064121353352,0.0327327379424263,0.0299112726560653,0.0164001092824879,0.0300223236329369,0.0226530610152021,0.0196223116191845,0.0217653782081129,0.0404893111965684,0.0229166255694227,0.0228258928429971,0.0210699743621617,0.0311935145032442,0.018730578526755,0.0277754982660146,0.0216828070044714,0.0275024445506175,0.0183668040217409,0.0196702450301721,0.0265419916826119,0.0253304565992547,0.034575886332294,0.0384417407761116,0.0196340847841772,0.0250655542121371,0.0365477407374662,0.0191569870195219,0.0244069533860494,0.0326313687247375,0.0191842498749263,0.017170810763649,0.0134619975655649,0.0259377203674043,0.0208347415890785,0.025112483574154,0.046274342814418,0.0353643603589885,0.0283920618456716,0.0129446663799574,0.02259449081049,0.0212029635866251,0.0225058736046993,0.0157356687839625,0.029035662530755,0.0222664519449109,0.0174151882085366,0.0260693899288962,0.0287448914124738,0.0272961078323866,0.0268405891313181
"cg03254875",0.00293138496466028,0.00351061309677738,0.00560043423937016,0.000480270216509883,0.000838772402826638,0.00193257364362422,0.00180242202875855,0.00114885913368125,0.00513621562435933,0.000543914205026494,0.00106992448663569,0.000100270637361002,0.000992762162358716,0.00155203783206093,0.000224475692078409,0.00119724240055429,0.00220394822806773,0.00110413454453027,0.00251297753037185,0.000832641771071724,0.000136941795172474,0.00039674213982822,0.00128835688958567,0.000364574256743446,0.000188754403118365,3.44968043038455e-05,0.00128615630004333,0.0016521476593052,0.00388078942203712,0.00335969913798313,0.000172055858682027,0.00205556819704819,0.000626906972633806,0.000818822590974625,0.000393460384501225,0.000800854679182078,0.000278485058509031,0.000293268349528331,0.000903381017086731,0.00151907987427297,0.00279118305815404,0.00147742290189945,0.00300905252406779,0.00144613676957443,0.00237351902418746,0.000411333193661216,0.000671261532645267,0.00361564954022465,0.00203164682328885,0.0023088519168565,0.00384842245759415,0.000511769577471348,0.000957764576806669,0.000733182910025721,0.0032411132647943,0.00248531452403908,0.00195500237110626,0.00799832667898653,0.001933770850815,5.34942264807565e-08,0.0037865164447399,0.000378880576491128,0.000535432028413396,0.00379866097503008
"cg05236965",0.0128652986223981,0.00535747595425155,0.0167831306556442,0.0176870428672814,0.0162032443368249,0.0171240737591948,0.0118433407428142,0.0240965086951294,0.0110792571640171,0.0092269713025637,0.0093656130219393,0.024754872602887,0.0164185721740632,0.011072843837749,0.0114060866388821,0.0121927133853836,0.00924097162053671,0.0159111045388202,0.0135698243863384,0.00741352104847865,0.0163218650062832,0.00995013390405915,0.01101994110932,0.00883136624935223,0.0103817497079813,0.00452541885649394,0.0176169771984866,0.0108055265158194,0.0144712932299908,0.0192340593933451,0.0172931517311843,0.0126080615031685,0.0159830709612064,0.0115504678092651,0.0145406244472375,0.0140311021843032,0.0210388038795727,0.0107917190781631,0.0105976956749546,0.0150195563914966,0.0203364379534266,0.017071178041813,0.00999057029248652,0.0143817699453611,0.0104835455818025,0.0118740322932868,0.0105253555041049,0.00855194477307628,0.00649369343540244,0.014759592661433,0.014309512693916,0.0109070196241023,0.00672892015414836,0.0123305821241674,0.00694021765960449,0.0166785244503971,0.0107247507081981,0.0125529061839025,0.01931627054844,0.00619370485447806,0.012072676763211,0.0114020216656909,0.0169269283223451,0.0192903540089347
"cg22593633",0.00807950167234318,0.00601524826612353,0.0154620044656462,0.0169618491312407,0.00386455025327608,0.000349310504162474,0.0136382174315337,0.0157716787993048,0.0107611837289366,0.0030236681301712,0.00452039732845493,0.006652944708427,0.00477421238294272,0.00405939687551157,0.0080219729672671,0.00946860372049602,0.0113518867848315,0.00655920095194075,0.00219749167507692,0.00983639340642517,0.00329819900883096,5.0238230385377e-05,0.00734720191762089,0.00226125147060321,0.0042975784736211,0.00421183102645939,0.016132998670592,0.00640542566357128,0.00314061802230446,0.00809029619307994,0.0141188311016701,0.0089443484237291,0.00248615669450396,0.00616301322217192,0.00497465639904422,0.00436987494016885,0.00899616454326897,0.00374696913268112,0.00396970424288983,0.00665362681054112,0.00925792749898374,0.00317785068847243,0.00591099310089524,0.00589081164977134,0.00441919710632292,0.00946370458541248,0.00655089271851571,0.00494080235560696,0.00787056143555334,0.00960286151467365,0.00723643317302332,0.00512021349087789,0.00221979247724834,0.0191336609319911,0.00283055307531154,0.00596819606254375,0.00857897427272896,0.0150419968316198,0.00557833170679792,0.00370379118797132,0.0175336060692168,0.00870001679743775,0.0101447018543031,0.00523690500626021
